,,centreline - 1,,centreline-2,,Foot start,
,Radio,x,y,x,y,x,y
E:/data/008 Uncertainty Study/video/undistorted video/I8d01_AFT.mp4,1.128834797,960,621,953,791,959,664
E:/data/008 Uncertainty Study/video/undistorted video/I8dS1_AFT.mp4,1.010148364,973,629,962,800,969,714
E:/data/008 Uncertainty Study/video/undistorted video/J8D01_AFT.mp4,1.318595843,976,626,969,757,973,686
E:/data/008 Uncertainty Study/video/undistorted video/J8S01_AFT.mp4,1.305247616,979,622,970,750,977,657
E:/data/008 Uncertainty Study/video/undistorted video/K8D02_AFT.mp4,3.234404938,991,629,983,807,989,666
E:/data/008 Uncertainty Study/video/undistorted video/L8D01_AFT.mp4,3.155970135,989,628,989,803,989,704
E:/data/008 Uncertainty Study/video/undistorted video/L8S01_AFT.mp4,3.077455399,986,630,988,804,988,716
E:/data/008 Uncertainty Study/video/undistorted video/J8D01_AFT.mp4,1.32878753,977,628,968,758,976,663
E:/data/008 Uncertainty Study/video/undistorted video/I8S01_FWD.mp4,-0.499296986,943,850,945,985,947,1002
E:/data/008 Uncertainty Study/Static/VideoData/J8S01_FWD.mp4,-2.36522035663,1052,858,1062,1001,998,1001
E:/data/008 Uncertainty Study/Static/VideoData/K8D02_FWD.mp4,0.377768896229,933,898,935,1004,934,1017
E:/data/008 Uncertainty Study/Static/VideoData/K8S01_FWD.mp4,-1.48786752883,970,957,974,1017,969,1017
E:/data/008 Uncertainty Study/Static/VideoData/L8D01_FWD.mp4,-0.372852304113,948,918,947,1013,946,1016
E:/data/008 Uncertainty Study/Static/VideoData/L8S01_FWD.mp4,-0.624112346205,950,918,952,1013,949,1017
E:/data/008 Uncertainty Study/Static/VideoData/J8D01_FWD.mp4,-2.06381972846,1048,862,1054,1017,1054,1017
